model,track,scenario,n,n_hazardous,n_safe,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,false_alarm_rate,avg_hazard_alignment,avg_phantom_mentions,pct_with_phantom_mention,unknown_rate
falcon-7b,text_only,baseline,891,891,0,495,0,0,396,1.0,0.5556,,0.7143,0.5556,,0.1214,0.0034,0.0034,0.0359
falcon-7b,text_only,baseline_safe,356,0,356,0,146,210,0,0.0,,0.5899,,0.5899,0.4101,,0.0,0.0,0.0225
falcon-7b,text_only,noisy,3564,3564,0,2074,0,0,1490,1.0,0.5819,,0.7357,0.5819,,0.1322,0.0017,0.0017,0.0331
falcon-7b,text_only,noisy_safe,1424,0,1424,0,640,784,0,0.0,,0.5506,,0.5506,0.4494,,0.0007,0.0007,0.0197
llama3-chatqa-8b,text_only,baseline,891,891,0,156,0,0,735,1.0,0.1751,,0.298,0.1751,,0.0657,0.0,0.0,0.0
llama3-chatqa-8b,text_only,baseline_safe,356,0,356,0,14,342,0,0.0,,0.9607,,0.9607,0.0393,,0.0,0.0,0.0
llama3-chatqa-8b,text_only,noisy,3564,3564,0,1222,0,0,2342,1.0,0.3429,,0.5107,0.3429,,0.1271,0.0208,0.0194,0.0
llama3-chatqa-8b,text_only,noisy_safe,1424,0,1424,0,302,1122,0,0.0,,0.7879,,0.7879,0.2121,,0.0147,0.014,0.0
llama3.2-vision-11b,image_only,baseline,891,891,0,841,0,0,50,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,baseline_safe,356,0,356,0,321,35,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy,3564,3564,0,3364,0,0,200,1.0,0.9439,,0.9711,0.9439,,0.4216,0.0,0.0,0.0
llama3.2-vision-11b,image_only,noisy_safe,1424,0,1424,0,1284,140,0,0.0,,0.0983,,0.0983,0.9017,,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,baseline,891,891,0,791,0,0,100,1.0,0.8878,,0.9406,0.8878,,0.466,0.0,0.0,0.0
llama3.2-vision-11b,text_and_image,baseline_safe,356,0,356,0,271,85,0,0.0,,0.2388,,0.2388,0.7612,,0.0,0.0,0.0028
llama3.2-vision-11b,text_and_image,noisy,3564,3564,0,3174,0,0,390,1.0,0.8906,,0.9421,0.8906,,0.455,0.0289,0.0286,0.0
llama3.2-vision-11b,text_and_image,noisy_safe,1424,0,1424,0,1136,288,0,0.0,,0.2022,,0.2022,0.7978,,0.0541,0.0534,0.0007
llama3.2-vision-11b,text_only,baseline,891,891,0,891,0,0,0,1.0,1.0,,1.0,1.0,,0.5954,0.0,0.0,0.0
